Código,Título,Tipo Imóvel,Bairro,Endereço,Área interna,Área externa,# de quartos,# de banheiros,# de suítes,# de vagas,IPTU,Condomínio,Preço
23807,"Cobertura à venda, Carmo - Belo Horizonte/MG",Cobertura,Carmo ,"746,Rua Pium-I,Carmo,Belo Horizonte",127.63,0.0,2.0,2.0,1.0,3.0,,,1350000.0
23806,"Cobertura à venda, Carmo - Belo Horizonte/MG",Cobertura,Carmo ,"746,Rua Pium-I,Carmo,Belo Horizonte",138.02,0.0,2.0,2.0,1.0,3.0,,,1450000.0
22922,"Apartamento 2 Quartos à venda, Carmo - Belo Horizonte/MG",Apartamento,Carmo ,"746,Rua Pium-I,Carmo,Belo Horizonte",63.81,0.0,2.0,2.0,1.0,2.0,,,915000.0
22918,"Apartamento 2 Quartos à venda, Carmo - Belo Horizonte/MG",Apartamento,Carmo ,"746,Rua Pium-I,Carmo,Belo Horizonte",65.1,0.0,2.0,2.0,1.0,2.0,,,883000.0
22917,"Área privativa à venda, Carmo - Belo Horizonte/MG",Área privativa,Carmo ,"746,Rua Pium-I,Carmo,Belo Horizonte",107.38,0.0,2.0,2.0,1.0,2.0,,,1226000.0
22916,"Área privativa à venda, Carmo - Belo Horizonte/MG",Área privativa,Carmo ,"746,Rua Pium-I,Carmo,Belo Horizonte",78.41,0.0,2.0,2.0,1.0,2.0,,,1010000.0
24050,"Área privativa à venda, Carmo - Belo Horizonte/MG",Área privativa,Carmo ,"746,Rua Pium-I,Carmo,Belo Horizonte",78.41,0.0,2.0,2.0,1.0,2.0,,,1010000.0
22883,"Apartamento 2 Quartos à venda, Serra - Belo Horizonte/MG",Apartamento,Serra ,"530,Rua Monte Alegre,Serra,Belo Horizonte",72.0,0.0,2.0,2.0,2.0,2.0,,,700000.0
22880,"Área privativa à venda, Serra - Belo Horizonte/MG",Área privativa,Serra ,"530,Rua Monte Alegre,Serra,Belo Horizonte",72.0,30.0,2.0,2.0,2.0,2.0,,,805000.0
23396,"Apartamento 4 Quartos à venda, Serra - Belo Horizonte/MG",Apartamento,Serra ,"131,Rua Serranos,Serra,Belo Horizonte",220.0,0.0,4.0,2.0,2.0,4.0,1246.23,2850.0,1890000.0
24051,"Área privativa à venda, Funcionários - Belo Horizonte/MG",Área privativa,Funcionários ,"512,Rua Bernardo Guimarães,Funcionários,Belo Horizonte",212.37,0.0,3.0,2.0,1.0,2.0,,,2017105.0
18588,"Apartamento 4 Quartos à venda, Serra - Belo Horizonte/MG",Apartamento,Serra ,"204,Rua Henrique Passini,Serra,Belo Horizonte",136.39,0.0,4.0,3.0,2.0,4.0,,,1944300.0
18586,"Apartamento 4 Quartos à venda, Serra - Belo Horizonte/MG",Apartamento,Serra ,"204,Rua Henrique Passini,Serra,Belo Horizonte",137.86,0.0,4.0,3.0,2.0,3.0,,,1882300.0
18583,"Apartamento 4 Quartos à venda, Serra - Belo Horizonte/MG",Apartamento,Serra ,"204,Rua Henrique Passini,Serra,Belo Horizonte",138.14,0.0,4.0,3.0,2.0,4.0,,,1918500.0
20388,"Área privativa à venda, Floresta - Belo Horizonte/MG",Área privativa,Floresta ,"231,Rua Mucuri,Floresta,Belo Horizonte",211.54,0.0,3.0,2.0,1.0,2.0,,,978000.0
3014,"Prédio Comercial à venda, Funcionários - Belo Horizonte/MG",Prédio Comercial,Funcionários ,"189,Rua Bernardo Guimarães,Funcionários,Belo Horizonte",1591.42,0.0,0.0,2.0,0.0,34.0,,,20797040.0
24049,"Área privativa à venda, Serra - Belo Horizonte/MG",Área privativa,Serra ,"176,Rua Capelinha,Serra,Belo Horizonte",126.45,53.78,4.0,2.0,1.0,3.0,,,1280000.0
22649,"Cobertura à venda, Anchieta - Belo Horizonte/MG",Cobertura,Anchieta ,"320,Rua Passa Tempo,Anchieta,Belo Horizonte",412.94,0.0,4.0,6.0,4.0,4.0,1266.75,1962.5,3800000.0
21121,"Casa à venda, Serra - Belo Horizonte/MG",Casa,Serra ,"250,Rua Radio,Serra,Belo Horizonte",400.0,0.0,6.0,4.0,2.0,4.0,311.25,,930000.0
20390,"Apartamento 3 Quartos à venda, São Lucas - Belo Horizonte/MG",Apartamento,São Lucas ,"175,Rua Teodomiro Cruz,São Lucas,Belo Horizonte",74.34,0.0,3.0,2.0,1.0,2.0,,,524123.95
20389,"Apartamento 2 Quartos à venda, São Lucas - Belo Horizonte/MG",Apartamento,São Lucas ,"175,Rua Teodomiro Cruz,São Lucas,Belo Horizonte",65.02,0.0,2.0,2.0,1.0,2.0,,,426560.9
18140,"Apartamento 3 Quartos à venda, Colégio Batista - Belo Horizonte/MG",Apartamento,Colégio Batista ,"646,Rua Guanhães,Colégio Batista,Belo Horizonte",102.05,0.0,3.0,2.0,1.0,1.0,99.14,400.0,430000.0
23067,"Cobertura à venda, Serra - Belo Horizonte/MG",Cobertura,Serra ,"176,Rua Capelinha,Serra,Belo Horizonte",256.98,0.0,4.0,2.0,1.0,4.0,,,1890000.0
23102,"Cobertura à venda, Serra - Belo Horizonte/MG",Cobertura,Serra ,"38,Rua Laguna,Serra,Belo Horizonte",203.0,81.32,4.0,4.0,2.0,5.0,,,2355000.0
23059,"Apartamento 4 Quartos à venda, Serra - Belo Horizonte/MG",Apartamento,Serra ,"176,Rua Capelinha,Serra,Belo Horizonte",126.45,0.0,4.0,2.0,1.0,3.0,,,1165000.0
23057,"Área privativa à venda, Serra - Belo Horizonte/MG",Área privativa,Serra ,"176,Rua Capelinha,Serra,Belo Horizonte",126.45,53.78,4.0,2.0,1.0,3.0,,,1280000.0
23074,"Apartamento 4 Quartos à venda, Serra - Belo Horizonte/MG",Apartamento,Serra ,"38,Rua Laguna,Serra,Belo Horizonte",138.0,0.0,4.0,4.0,2.0,3.0,,,1340000.0
23070,"Área privativa à venda, Serra - Belo Horizonte/MG",Área privativa,Serra ,"38,Rua Laguna,Serra,Belo Horizonte",138.0,22.0,4.0,4.0,2.0,3.0,,,1368000.0
5372,"Apartamento 4 Quartos à venda, Sion - Belo Horizonte/MG",Apartamento,Sion ,"408,Rua Cristina,Sion,Belo Horizonte",150.0,0.0,4.0,4.0,2.0,3.0,580.0,1050.0,2050000.0
21099,"Apartamento 3 Quartos à venda, Cruzeiro - Belo Horizonte/MG",Apartamento,Cruzeiro ,"3678,Av. Afonso Pena,Cruzeiro,Belo Horizonte",148.2,40.0,3.0,2.0,1.0,1.0,296.65,1128.96,690000.0
