Bairro,IQVU,Código,Título,Tipo Imóvel,Endereço,Área interna,Área externa,# de quartos,# de banheiros,# de suítes,# de vagas,IPTU,Condomínio,Preço,Área total
Abilio Machado,0.714308668,,,,,,,,,,,,,,
Anchieta,0.755253901,22649.0,"Cobertura à venda, Anchieta - Belo Horizonte/MG",Cobertura,"320,Rua Passa Tempo,Anchieta,Belo Horizonte",412.94,0.0,4.0,6.0,4.0,4.0,1266.75,1962.5,3800000.0,412.94
Anchieta,0.755253901,19575.0,"Apartamento 4 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"1029,Rua Bambui,Anchieta,Belo Horizonte",197.0,0.0,4.0,4.0,4.0,4.0,1164.3,2443.96,2990000.0,197.0
Anchieta,0.755253901,24646.0,"Apartamento 3 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"100,Rua Passa Tempo,Anchieta,Belo Horizonte",99.63,0.0,3.0,2.0,1.0,2.0,402.3,1445.0,1150000.0,99.63
Anchieta,0.755253901,23673.0,"Apartamento 4 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"106,Rua Albita,Anchieta,Belo Horizonte",120.0,0.0,4.0,2.0,1.0,2.0,336.63,600.0,890000.0,120.0
Anchieta,0.755253901,24392.0,"Apartamento 4 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"57,Rua Cristina,Anchieta,Belo Horizonte",145.86,0.0,4.0,3.0,2.0,3.0,,,2541221.58,145.86
Anchieta,0.755253901,393.0,"Apartamento 3 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"358,RUA MUZAMBINHO,Anchieta,Belo Horizonte",106.0,0.0,3.0,2.0,1.0,1.0,250.0,600.0,420000.0,106.0
Anchieta,0.755253901,21114.0,"Apartamento 2 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"220,Rua Engenheiro Amaro Lanari,Anchieta,Belo Horizonte",63.0,0.0,2.0,3.0,2.0,2.0,,260.0,800000.0,63.0
Anchieta,0.755253901,20711.0,"Apartamento 3 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"191,Rua Ramalhete,Anchieta,Belo Horizonte",104.81,0.0,3.0,1.0,0.0,1.0,190.62,418.0,490000.0,104.81
Anchieta,0.755253901,21472.0,"Apartamento 3 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"29,Rua Bicalho Tostes,Anchieta,Belo Horizonte",110.0,0.0,3.0,2.0,1.0,2.0,218.92,360.0,599000.0,110.0
Anchieta,0.755253901,20573.0,"Apartamento 3 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"481,Rua Francisco Deslandes,Anchieta,Belo Horizonte",98.37,0.0,3.0,1.0,0.0,1.0,175.27,350.0,595000.0,98.37
Anchieta,0.755253901,21473.0,"Apartamento 4 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"237,Rua Samuel Pereira,Anchieta,Belo Horizonte",300.0,0.0,4.0,2.0,1.0,4.0,777.82,3000.0,2300000.0,300.0
Anchieta,0.755253901,22600.0,"Apartamento 4 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"215,Rua Rogerio Fajardo,Anchieta,Belo Horizonte",127.29,0.0,4.0,2.0,1.0,2.0,268.46,774.65,900000.0,127.29
Anchieta,0.755253901,10549.0,"Apartamento 4 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"119,Rua Adolfo Pereira,Anchieta,Belo Horizonte",190.0,0.0,4.0,2.0,1.0,3.0,464.82,2200.0,1690000.0,190.0
Anchieta,0.755253901,24442.0,"Apartamento 3 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"680,Rua Francisco Deslandes,Anchieta,Belo Horizonte",125.68,0.0,3.0,2.0,1.0,1.0,275.43,871.42,720000.0,125.68
Anchieta,0.755253901,23699.0,"Cobertura à venda, Anchieta - Belo Horizonte/MG",Cobertura,"15,Rua Professor Norton Kaiserman,Anchieta,Belo Horizonte",180.0,25.0,3.0,3.0,2.0,1.0,422.52,1000.0,1350000.0,205.0
Anchieta,0.755253901,2588.0,"Lote à venda, Anchieta - Belo Horizonte/MG",Lote,"194,RUA FLORALIA,Anchieta,Belo Horizonte",120.0,0.0,0.0,0.0,0.0,0.0,380.0,,1200000.0,120.0
Anchieta,0.755253901,24630.0,"Cobertura à venda, Anchieta - Belo Horizonte/MG",Cobertura,"540,Rua Vitorio Marcola,Anchieta,Belo Horizonte",163.2,0.0,3.0,2.0,1.0,3.0,,,2666112.57,163.2
Anchieta,0.755253901,24629.0,"Área privativa à venda, Anchieta - Belo Horizonte/MG",Área privativa,"540,Rua Vitorio Marcola,Anchieta,Belo Horizonte",140.4,0.0,3.0,2.0,1.0,3.0,,,1932931.61,140.4
Anchieta,0.755253901,24624.0,"Apartamento 3 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"540,Rua Vitorio Marcola,Anchieta,Belo Horizonte",98.0,0.0,3.0,2.0,1.0,2.0,,,1333056.29,98.0
Anchieta,0.755253901,24305.0,"Cobertura à venda, Anchieta - Belo Horizonte/MG",Cobertura,"210,Rua Vitorio Marcola,Anchieta,Belo Horizonte",175.0,0.0,4.0,4.0,1.0,4.0,540.0,780.0,1350000.0,175.0
Anchieta,0.755253901,23887.0,"Apartamento 4 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"250,Rua Joaquim Linhares,Anchieta,Belo Horizonte",140.0,0.0,4.0,4.0,2.0,4.0,1128.0,1566.0,2550000.0,140.0
Anchieta,0.755253901,24609.0,"Apartamento 2 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"15,Rua Adolfo Pereira,Anchieta,Belo Horizonte",48.0,0.0,2.0,1.0,0.0,1.0,215.09,550.0,470000.0,48.0
Anchieta,0.755253901,18014.0,"Apartamento 4 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"95,Rua Joaquim Lustosa,Anchieta,Belo Horizonte",93.86,0.0,4.0,2.0,1.0,2.0,367.57,450.0,1070000.0,93.86
Anchieta,0.755253901,23740.0,"Apartamento 4 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"1515,Rua Montes Claros,Anchieta,Belo Horizonte",160.94,0.0,4.0,3.0,3.0,4.0,1098.99,2300.0,1920000.0,160.94
Anchieta,0.755253901,12950.0,"Apartamento 4 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"1587,Av. dos Bandeirantes,Anchieta,Belo Horizonte",176.0,0.0,4.0,2.0,1.0,3.0,381.24,855.0,950000.0,176.0
Anchieta,0.755253901,8067.0,"Casa à venda, Anchieta - Belo Horizonte/MG",Casa,"200,Rua Joaquim Linhares,Anchieta,Belo Horizonte",300.0,0.0,4.0,2.0,0.0,3.0,490.64,,1850000.0,300.0
Anchieta,0.755253901,8065.0,"Apartamento 4 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"71,Rua Joaquim Lustosa,Anchieta,Belo Horizonte",180.0,0.0,4.0,2.0,1.0,3.0,534.63,1500.0,1400000.0,180.0
Anchieta,0.755253901,14509.0,"Apartamento 2 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"1325,Rua Montes Claros,Anchieta,Belo Horizonte",65.0,0.0,2.0,1.0,0.0,1.0,151.91,300.0,310000.0,65.0
Anchieta,0.755253901,20651.0,"Apartamento 3 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"391,Rua Odilon Braga,Anchieta,Belo Horizonte",85.0,0.0,3.0,1.0,0.0,1.0,128.43,459.5,450000.0,85.0
Anchieta,0.755253901,24263.0,"Apartamento 2 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"46,Rua Vitorio Marcola,Anchieta,Belo Horizonte",60.42,0.0,2.0,2.0,1.0,2.0,288.74,444.76,780000.0,60.42
Anchieta,0.755253901,21524.0,"Apartamento 3 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"135,Rua Samuel Pereira,Anchieta,Belo Horizonte",85.2,0.0,3.0,2.0,0.0,1.0,157.17,401.0,750000.0,85.2
Anchieta,0.755253901,21674.0,"Apartamento 3 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"302,Rua Caratinga,Anchieta,Belo Horizonte",102.0,0.0,3.0,1.0,0.0,1.0,174.1,500.0,425000.0,102.0
Anchieta,0.755253901,23884.0,"Apartamento 3 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"1035,Rua Francisco Deslandes,Anchieta,Belo Horizonte",83.19,0.0,3.0,2.0,1.0,1.0,321.99,1660.0,850000.0,83.19
Anchieta,0.755253901,24586.0,"Cobertura à venda, Anchieta - Belo Horizonte/MG",Cobertura,"752,Rua Francisco Deslandes,Anchieta,Belo Horizonte",188.86,0.0,4.0,3.0,2.0,2.0,237.14,840.0,1300000.0,188.86
Anchieta,0.755253901,24580.0,"Apartamento 4 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"25,Rua Engenheiro Amaro Lanari,Anchieta,Belo Horizonte",174.72,0.0,4.0,3.0,2.0,3.0,926.78,2297.4,2400000.0,174.72
Anchieta,0.755253901,23904.0,"Apartamento 3 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"888,Rua Vitorio Marcola,Anchieta,Belo Horizonte",85.91,0.0,3.0,2.0,1.0,2.0,381.66,756.37,745000.0,85.91
Anchieta,0.755253901,18228.0,"Apartamento 3 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"481,Rua Francisco Deslandes,Anchieta,Belo Horizonte",98.37,0.0,3.0,1.0,0.0,1.0,159.21,350.0,500000.0,98.37
Anchieta,0.755253901,736.0,"Apartamento 3 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"34,RUA RIO VERDE,Anchieta,Belo Horizonte",105.0,0.0,3.0,2.0,1.0,2.0,338.54,620.0,1225000.0,105.0
Anchieta,0.755253901,22729.0,"Casa à venda, Anchieta - Belo Horizonte/MG",Casa,"287,Rua Ramalhete,Anchieta,Belo Horizonte",507.0,0.0,4.0,6.0,2.0,4.0,637.0,,1800000.0,507.0
Anchieta,0.755253901,24535.0,"Apartamento 4 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"250,Rua Rogerio Fajardo,Anchieta,Belo Horizonte",121.58,0.0,4.0,2.0,1.0,2.0,466.02,1171.1,1140000.0,121.58
Anchieta,0.755253901,17855.0,"Apartamento 3 Quartos à venda, Anchieta - Belo Horizonte/MG",Apartamento,"13,Rua Caratinga,Anchieta,Belo Horizonte",87.0,0.0,3.0,2.0,0.0,0.0,126.11,450.0,360000.0,87.0
