Código,Título,Bairro,Endereço,Área interna,Área externa,# de quartos,# de banheiros,# de suítes,# de vagas,IPTU,Condomínio,Preço
23807,"Cobertura à venda, Carmo - Belo Horizonte/MG",Carmo ,"746,Rua Pium-I,Carmo,Belo Horizonte",127.63,nan,2,2,1,3,nan,nan,1350000.0
23806,"Cobertura à venda, Carmo - Belo Horizonte/MG",Carmo ,"746,Rua Pium-I,Carmo,Belo Horizonte",138.02,nan,2,2,1,3,nan,nan,1450000.0
22922,"Apartamento 2 Quartos à venda, Carmo - Belo Horizonte/MG",Carmo ,"746,Rua Pium-I,Carmo,Belo Horizonte",63.81,nan,2,2,1,2,nan,nan,915000.0
22918,"Apartamento 2 Quartos à venda, Carmo - Belo Horizonte/MG",Carmo ,"746,Rua Pium-I,Carmo,Belo Horizonte",65.1,nan,2,2,1,2,nan,nan,883000.0
22917,"Área privativa à venda, Carmo - Belo Horizonte/MG",Carmo ,"746,Rua Pium-I,Carmo,Belo Horizonte",107.38,nan,2,2,1,2,nan,nan,1226000.0
22916,"Área privativa à venda, Carmo - Belo Horizonte/MG",Carmo ,"746,Rua Pium-I,Carmo,Belo Horizonte",78.41,nan,2,2,1,2,nan,nan,1010000.0
24050,"Área privativa à venda, Carmo - Belo Horizonte/MG",Carmo ,"746,Rua Pium-I,Carmo,Belo Horizonte",78.41,nan,2,2,1,2,nan,nan,1010000.0
22883,"Apartamento 2 Quartos à venda, Serra - Belo Horizonte/MG",Serra ,"530,Rua Monte Alegre,Serra,Belo Horizonte",72.0,nan,2,2,2,2,nan,nan,700000.0
22880,"Área privativa à venda, Serra - Belo Horizonte/MG",Serra ,"530,Rua Monte Alegre,Serra,Belo Horizonte",72.0,30.0,2,2,2,2,nan,nan,805000.0
23396,"Apartamento 4 Quartos à venda, Serra - Belo Horizonte/MG",Serra ,"131,Rua Serranos,Serra,Belo Horizonte",220.0,nan,4,2,2,4,1246.23,2850.0,1890000.0
24051,"Área privativa à venda, Funcionários - Belo Horizonte/MG",Funcionários ,"512,Rua Bernardo Guimarães,Funcionários,Belo Horizonte",212.37,nan,3,2,1,2,nan,nan,2017105.0
18588,"Apartamento 4 Quartos à venda, Serra - Belo Horizonte/MG",Serra ,"204,Rua Henrique Passini,Serra,Belo Horizonte",136.39,nan,4,3,2,4,nan,nan,1944300.0
18586,"Apartamento 4 Quartos à venda, Serra - Belo Horizonte/MG",Serra ,"204,Rua Henrique Passini,Serra,Belo Horizonte",137.86,nan,4,3,2,3,nan,nan,1882300.0
18583,"Apartamento 4 Quartos à venda, Serra - Belo Horizonte/MG",Serra ,"204,Rua Henrique Passini,Serra,Belo Horizonte",138.14,nan,4,3,2,4,nan,nan,1918500.0
20388,"Área privativa à venda, Floresta - Belo Horizonte/MG",Floresta ,"231,Rua Mucuri,Floresta,Belo Horizonte",211.54,nan,3,2,1,2,nan,nan,978000.0
3014,"Prédio Comercial à venda, Funcionários - Belo Horizonte/MG",Funcionários ,"189,Rua Bernardo Guimarães,Funcionários,Belo Horizonte",1591.42,nan,nan,2,nan,34,nan,nan,20797040.0
24049,"Área privativa à venda, Serra - Belo Horizonte/MG",Serra ,"176,Rua Capelinha,Serra,Belo Horizonte",126.45,53.78,4,2,1,3,nan,nan,1280000.0
22649,"Cobertura à venda, Anchieta - Belo Horizonte/MG",Anchieta ,"320,Rua Passa Tempo,Anchieta,Belo Horizonte",412.94,nan,4,6,4,4,1266.75,1962.5,3800000.0
21121,"Casa à venda, Serra - Belo Horizonte/MG",Serra ,"250,Rua Radio,Serra,Belo Horizonte",400.0,nan,6,4,2,4,311.25,nan,930000.0
20390,"Apartamento 3 Quartos à venda, São Lucas - Belo Horizonte/MG",São Lucas ,"175,Rua Teodomiro Cruz,São Lucas,Belo Horizonte",74.34,nan,3,2,1,2,nan,nan,524123.95
20389,"Apartamento 2 Quartos à venda, São Lucas - Belo Horizonte/MG",São Lucas ,"175,Rua Teodomiro Cruz,São Lucas,Belo Horizonte",65.02,nan,2,2,1,2,nan,nan,426560.9
18140,"Apartamento 3 Quartos à venda, Colégio Batista - Belo Horizonte/MG",Colégio Batista ,"646,Rua Guanhães,Colégio Batista,Belo Horizonte",102.05,nan,3,2,1,1,99.14,400.0,430000.0
23067,"Cobertura à venda, Serra - Belo Horizonte/MG",Serra ,"176,Rua Capelinha,Serra,Belo Horizonte",256.98,nan,4,2,1,4,nan,nan,1890000.0
23102,"Cobertura à venda, Serra - Belo Horizonte/MG",Serra ,"38,Rua Laguna,Serra,Belo Horizonte",203.0,81.32,4,4,2,5,nan,nan,2355000.0
23059,"Apartamento 4 Quartos à venda, Serra - Belo Horizonte/MG",Serra ,"176,Rua Capelinha,Serra,Belo Horizonte",126.45,nan,4,2,1,3,nan,nan,1165000.0
23057,"Área privativa à venda, Serra - Belo Horizonte/MG",Serra ,"176,Rua Capelinha,Serra,Belo Horizonte",126.45,53.78,4,2,1,3,nan,nan,1280000.0
23074,"Apartamento 4 Quartos à venda, Serra - Belo Horizonte/MG",Serra ,"38,Rua Laguna,Serra,Belo Horizonte",138.0,nan,4,4,2,3,nan,nan,1340000.0
23070,"Área privativa à venda, Serra - Belo Horizonte/MG",Serra ,"38,Rua Laguna,Serra,Belo Horizonte",138.0,22.0,4,4,2,3,nan,nan,1368000.0
5372,"Apartamento 4 Quartos à venda, Sion - Belo Horizonte/MG",Sion ,"408,Rua Cristina,Sion,Belo Horizonte",150.0,nan,4,4,2,3,580.0,1050.0,2050000.0
21099,"Apartamento 3 Quartos à venda, Cruzeiro - Belo Horizonte/MG",Cruzeiro ,"3678,Av. Afonso Pena,Cruzeiro,Belo Horizonte",148.2,40.0,3,2,1,1,296.65,1128.96,690000.0
23020,"Apartamento 2 Quartos à venda, Horto - Belo Horizonte/MG",Horto ,"2615,Rua Pouso Alegre,Horto,Belo Horizonte",55.0,nan,2,1,nan,1,119.19,525.0,360000.0
19575,"Apartamento 4 Quartos à venda, Anchieta - Belo Horizonte/MG",Anchieta ,"1029,Rua Bambui,Anchieta,Belo Horizonte",197.0,nan,4,4,4,4,1164.3,2443.96,2990000.0
19587,"Apartamento 4 Quartos à venda, Lourdes - Belo Horizonte/MG",Lourdes ,"321,Rua Tomaz Gonzaga,Lourdes,Belo Horizonte",201.53,nan,4,3,2,4,1277.47,2700.0,2799000.0
20444,"Cobertura à venda, Santa Efigênia - Belo Horizonte/MG",Santa Efigênia ,"113,Rua dos Otoni,Santa Efigênia,Belo Horizonte",114.62,54.88,3,2,1,3,nan,nan,2013419.53
20443,"Cobertura à venda, Santa Efigênia - Belo Horizonte/MG",Santa Efigênia ,"113,Rua dos Otoni,Santa Efigênia,Belo Horizonte",118.35,55.52,3,2,1,3,nan,nan,2031880.22
20436,"Apartamento 3 Quartos à venda, Santa Efigênia - Belo Horizonte/MG",Santa Efigênia ,"113,Rua dos Otoni,Santa Efigênia,Belo Horizonte",87.88,nan,3,2,1,2,nan,nan,1312644.66
20432,"Apartamento 3 Quartos à venda, Santa Efigênia - Belo Horizonte/MG",Santa Efigênia ,"113,Rua dos Otoni,Santa Efigênia,Belo Horizonte",91.68,nan,3,2,1,2,nan,nan,1292382.29
20425,"Área privativa à venda, Santa Efigênia - Belo Horizonte/MG",Santa Efigênia ,"113,Rua dos Otoni,Santa Efigênia,Belo Horizonte",87.88,6.89,3,2,1,2,nan,nan,1374885.22
